,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,date,Daman and Diu,Delhi,Dadra and Nagar Haveli,Goa,Gujarat,Himachal Pradesh,Haryana,Jharkhand,Jammu and Kashmir,Karnataka,Kerala,Ladakh,Lakshadweep,Maharashtra,Meghalaya,Manipur,Madhya Pradesh,Mizoram,Nagaland,Odisha,Punjab,Puducherry,Rajasthan,Sikkim,status,Telangana,Tamil Nadu,Tripura,India,Uttar Pradesh,Uttarakhand,West Bengal
52,0,0,0,0,0,0,2,2020-03-31,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Recovered,0,2,0,15,0,0,3
53,0,0,0,0,0,0,0,2020-03-31,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1.0,0,0,0,1,0,0,0,Deceased,0,0,0,6,0,0,1
54,0,67,0,15,3,2,0,2020-04-01,0,32,0,0,13,0,0,0,7,9,24,0,0,33,0,0,32.0,0,0,1,4,2,27,0,Confirmed,30,110,0,424,13,0,0
55,0,1,0,0,0,0,0,2020-04-01,0,0,0,0,0,0,10,0,1,1,2,0,0,0,0,0,0.0,0,0,1,0,0,0,0,Recovered,0,0,0,16,0,0,0
56,0,0,0,0,0,0,0,2020-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1.0,0,0,0,0,0,0,0,Deceased,3,0,0,9,2,0,0
57,0,38,1,0,5,1,0,2020-04-02,0,141,0,0,1,3,6,1,8,14,21,0,0,88,0,1,9.0,0,0,0,1,2,13,0,Confirmed,27,75,0,486,11,3,16
58,0,0,0,0,3,0,1,2020-04-02,0,2,0,0,5,0,0,0,1,2,2,0,0,3,0,0,0.0,0,0,0,0,0,0,0,Recovered,3,0,0,22,0,0,0
59,0,0,0,0,0,0,0,2020-04-02,0,2,0,0,1,0,0,0,0,0,0,0,0,8,0,0,2.0,0,0,0,1,0,0,0,Deceased,0,0,0,14,0,0,0
60,0,15,0,7,2,0,0,2020-04-03,0,93,0,1,7,0,9,0,5,4,9,1,0,64,0,0,47.0,0,0,15,6,0,46,0,Confirmed,75,102,0,560,46,6,0
61,0,0,0,0,0,0,0,2020-04-03,0,0,0,0,0,0,0,0,0,0,14,0,0,8,0,0,0.0,0,0,1,0,0,0,0,Recovered,15,0,0,38,0,0,0
62,0,1,0,0,0,0,0,2020-04-03,0,2,0,0,2,1,0,0,0,1,0,0,0,5,0,0,0.0,0,0,0,0,0,0,0,Deceased,2,0,0,14,0,0,0
63,0,28,0,3,1,0,1,2020-04-04,0,59,0,1,13,7,26,0,17,16,11,0,0,148,0,0,25.0,0,0,1,12,0,27,0,Confirmed,43,74,0,579,60,6,0
64,0,0,0,0,0,3,0,2020-04-04,0,8,0,0,3,0,1,0,0,0,8,0,0,2,0,0,0.0,0,0,0,2,0,22,0,Recovered,1,2,0,56,4,0,0
65,0,0,0,0,0,0,0,2020-04-04,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,3.0,0,0,0,0,0,1,0,Deceased,0,2,0,13,0,0,0
66,0,64,0,0,0,0,0,2020-04-05,0,58,0,0,20,1,6,1,14,7,8,0,0,112,0,0,14.0,0,0,18,3,0,60,0,Confirmed,62,86,0,609,44,4,27
67,0,3,0,0,0,2,5,2020-04-05,0,0,0,0,8,0,0,0,1,1,6,0,0,4,0,0,3.0,0,0,0,1,0,0,0,Recovered,0,0,0,43,0,2,7
68,0,0,0,0,0,0,0,2020-04-05,0,1,0,0,1,0,0,0,0,0,0,0,0,13,0,0,2.0,0,0,0,2,0,0,0,Deceased,0,2,0,22,1,0,0
69,0,47,0,0,0,0,0,2020-04-06,0,22,0,0,18,4,20,1,3,12,13,0,0,121,0,0,63.0,0,0,1,11,0,35,0,Confirmed,30,50,1,484,27,5,0
70,0,0,0,0,6,0,0,2020-04-06,0,0,0,0,1,0,0,0,0,8,3,7,0,14,0,1,8.0,0,0,0,0,0,0,0,Recovered,12,5,0,65,0,0,0
71,0,2,0,0,0,0,0,2020-04-06,0,0,0,0,1,0,2,0,0,0,0,0,0,7,0,0,2.0,0,0,0,0,0,1,0,Deceased,0,1,0,16,0,0,0
72,0,11,0,2,6,0,0,2020-04-07,0,51,0,0,29,9,33,0,16,12,8,0,0,150,0,0,34.0,0,0,2,20,0,42,0,Confirmed,40,69,0,572,27,0,11
73,0,0,0,0,6,2,1,2020-04-07,0,4,0,0,3,1,2,0,0,5,12,0,0,9,0,0,10.0,0,0,0,10,1,0,0,Recovered,0,6,0,75,0,0,3
74,0,1,0,0,0,0,0,2020-04-07,0,2,0,0,2,0,0,0,1,0,0,0,0,12,0,0,6.0,0,0,1,1,0,0,0,Deceased,0,1,0,27,0,0,0
75,1,34,0,0,1,0,0,2020-04-08,0,93,0,0,11,0,24,0,33,6,9,0,0,117,0,0,51.0,0,0,0,7,0,40,0,Confirmed,49,48,0,565,29,4,8
76,0,1,0,0,0,0,0,2020-04-08,0,1,0,0,0,0,1,0,2,3,13,0,0,38,0,0,4.0,0,0,0,0,0,20,0,Recovered,0,2,0,96,10,1,0
77,0,0,0,0,0,0,0,2020-04-08,0,0,0,0,2,0,0,0,0,1,0,0,0,8,0,0,3.0,0,0,0,1,0,1,0,Deceased,0,1,0,20,1,0,2
78,0,15,0,1,19,0,8,2020-04-09,0,51,0,0,76,1,3,9,26,16,12,0,0,229,0,0,70.0,0,0,6,24,0,80,0,Confirmed,18,96,0,813,49,0,4
79,10,4,0,0,0,0,0,2020-04-09,0,4,0,0,1,0,0,0,0,2,13,0,0,8,0,0,0.0,0,0,0,4,0,15,0,Recovered,0,6,0,70,0,0,3
80,0,2,0,0,0,0,0,2020-04-09,0,3,0,0,2,0,0,1,1,1,0,0,0,25,0,0,9.0,0,0,0,1,0,0,0,Deceased,1,0,0,46,0,0,0
